# Cartographie des questions générée le 2025-11-14T15:16:58-05:00
# Question | Champ | Section | Type | Origine
Type de demande | type_demande | Type de demande | select | index.php:getFieldDefinitions:type_demande
Où en êtes-vous dans votre processus de financement ? | bilan_process | Bilan | select | index.php:getFieldDefinitions:bilan_process
Quel est le plus important pour vous dans votre financement hypothécaire ? | bilan_importance | Bilan | select | index.php:getFieldDefinitions:bilan_importance
Si nous trouvons une offre avantageuse pour vous, seriez-vous prêt à aller de l'avant ? | bilan_offre | Bilan | select | index.php:getFieldDefinitions:bilan_offre
Avez-vous déjà obtenu une offre ou préqualification d’une autre institution financière ? | bilan_offre_preexistante | Bilan | select | index.php:getFieldDefinitions:bilan_offre_preexistante
Avez-vous déjà rassemblé certains documents financiers ? | bilan_documents_rassembles | Bilan | select | index.php:getFieldDefinitions:bilan_documents_rassembles
Avez-vous une date limite pour finaliser votre financement ? | bilan_date_limite | Bilan | select | index.php:getFieldDefinitions:bilan_date_limite
Indiquez la date limite | date_limite_precise | Bilan | date | index.php:getFieldDefinitions:date_limite_precise
Titre de politesse | titre_politesse | Informations personnelles | select | index.php:getFieldDefinitions:titre_politesse
Prénom | prenom | Informations personnelles | text | index.php:getFieldDefinitions:prenom
Nom | nom | Informations personnelles | text | index.php:getFieldDefinitions:nom
Date de naissance (AAAA/MM/JJ) | dob | Informations personnelles | date | index.php:getFieldDefinitions:dob
État civil | etat_civil | Informations personnelles | select | index.php:getFieldDefinitions:etat_civil
Type de régime matrimonial (pour Marié) | regime_matrimonial | Informations personnelles | select | index.php:getFieldDefinitions:regime_matrimonial
Pour Veuf/Veuve, précisez votre situation | veuf_option | Informations personnelles | select | index.php:getFieldDefinitions:veuf_option
Numéro de téléphone | telephone | Informations personnelles | text | index.php:getFieldDefinitions:telephone
Courriel | email | Informations personnelles | email | index.php:getFieldDefinitions:email
Résident du Canada | resident | Informations personnelles | select | index.php:getFieldDefinitions:resident
Êtes-vous un nouvel arrivant au Canada ? | nouvel_arrivant | Informations personnelles | select | index.php:getFieldDefinitions:nouvel_arrivant
Êtes-vous un nouvel acheteur (première propriété) ? | nouvel_acheteur | Informations personnelles | select | index.php:getFieldDefinitions:nouvel_acheteur
Pièce d’identité 1 - Type | piece1_type | 2 Pièces d’identités | select | index.php:getFieldDefinitions:piece1_type
