# Cartographie détaillée des valeurs générée le 2025-11-14T15:16:58-05:00
# Champ | Libellé | Type | Section | Origine | Observations
type_demande | Type de demande | select | Type de demande | index.php:getFieldDefinitions:type_demande | 20
bilan_process | Où en êtes-vous dans votre processus de financement ? | select | Bilan | index.php:getFieldDefinitions:bilan_process | 20
bilan_importance | Quel est le plus important pour vous dans votre financement hypothécaire ? | select | Bilan | index.php:getFieldDefinitions:bilan_importance | 20
bilan_offre | Si nous trouvons une offre avantageuse pour vous, seriez-vous prêt à aller de l'avant ? | select | Bilan | index.php:getFieldDefinitions:bilan_offre | 20
bilan_offre_preexistante | Avez-vous déjà obtenu une offre ou préqualification d’une autre institution financière ? | select | Bilan | index.php:getFieldDefinitions:bilan_offre_preexistante | 20
bilan_documents_rassembles | Avez-vous déjà rassemblé certains documents financiers ? | select | Bilan | index.php:getFieldDefinitions:bilan_documents_rassembles | 20
bilan_date_limite | Avez-vous une date limite pour finaliser votre financement ? | select | Bilan | index.php:getFieldDefinitions:bilan_date_limite | 20
date_limite_precise | Indiquez la date limite | date | Bilan | index.php:getFieldDefinitions:date_limite_precise | 20
titre_politesse | Titre de politesse | select | Informations personnelles | index.php:getFieldDefinitions:titre_politesse | 20
prenom | Prénom | text | Informations personnelles | index.php:getFieldDefinitions:prenom | 20
nom | Nom | text | Informations personnelles | index.php:getFieldDefinitions:nom | 20
dob | Date de naissance (AAAA/MM/JJ) | date | Informations personnelles | index.php:getFieldDefinitions:dob | 20
etat_civil | État civil | select | Informations personnelles | index.php:getFieldDefinitions:etat_civil | 20
regime_matrimonial | Type de régime matrimonial (pour Marié) | select | Informations personnelles | index.php:getFieldDefinitions:regime_matrimonial | 20
veuf_option | Pour Veuf/Veuve, précisez votre situation | select | Informations personnelles | index.php:getFieldDefinitions:veuf_option | 20
telephone | Numéro de téléphone | text | Informations personnelles | index.php:getFieldDefinitions:telephone | 20
email | Courriel | email | Informations personnelles | index.php:getFieldDefinitions:email | 20
resident | Résident du Canada | select | Informations personnelles | index.php:getFieldDefinitions:resident | 20
nouvel_arrivant | Êtes-vous un nouvel arrivant au Canada ? | select | Informations personnelles | index.php:getFieldDefinitions:nouvel_arrivant | 20
nouvel_acheteur | Êtes-vous un nouvel acheteur (première propriété) ? | select | Informations personnelles | index.php:getFieldDefinitions:nouvel_acheteur | 20
piece1_type | Pièce d’identité 1 - Type | select | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_type | 20
piece1_autre_type | Précisez le type (Pièce 1) | text | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_autre_type | 20
piece1_pays | Pièce d’identité 1 - Pays de délivrance | text | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_pays | 20
piece1_numero | Pièce d’identité 1 - Numéro | text | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_numero | 20
piece1_expiration | Pièce d’identité 1 - Date d’expiration (AAAA/MM/JJ) | date | 2 Pièces d’identités | index.php:getFieldDefinitions:piece1_expiration | 20
piece2_type | Pièce d’identité 2 - Type | select | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_type | 20
piece2_autre_type | Précisez le type (Pièce 2) | text | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_autre_type | 20
piece2_pays | Pièce d’identité 2 - Pays de délivrance | text | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_pays | 20
piece2_numero | Pièce d’identité 2 - Numéro | text | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_numero | 20
piece2_expiration | Pièce d’identité 2 - Date d’expiration (AAAA/MM/JJ) | date | 2 Pièces d’identités | index.php:getFieldDefinitions:piece2_expiration | 20
adresses | Historique d’adresses | repeatable | Historique d’adresses | index.php:getFieldDefinitions:adresses | 0
adresses.type | Type d’adresse | select | Historique d’adresses | index.php:getFieldDefinitions:adresses.type | 19
adresses.numero_rue | Numéro civique | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.numero_rue | 19
adresses.nom_rue | Nom de rue | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.nom_rue | 19
adresses.appartement | Appartement | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.appartement | 19
adresses.ville | Ville | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.ville | 19
adresses.province | Province | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.province | 19
adresses.code_postal | Code postal | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.code_postal | 19
adresses.date_debut | Date de début | date | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_debut | 19
adresses.date_fin | Date de fin | date | Historique d’adresses | index.php:getFieldDefinitions:adresses.date_fin | 19
adresses.statut | Statut | select | Historique d’adresses | index.php:getFieldDefinitions:adresses.statut | 19
adresses.cout_loyer | Coût du loyer | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.cout_loyer | 19
adresses.lien_proprio | Lien avec le propriétaire | text | Historique d’adresses | index.php:getFieldDefinitions:adresses.lien_proprio | 19
emplois | Historique d’emplois (3 dernières années) | repeatable | Emploi(s) | index.php:getFieldDefinitions:emplois | 0
emplois.nom_employeur | Nom de l’employeur | text | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_employeur | 19
emplois.statut | Statut | select | Emploi(s) | index.php:getFieldDefinitions:emplois.statut | 19
emplois.numero_rue | Numéro de rue | text | Emploi(s) | index.php:getFieldDefinitions:emplois.numero_rue | 19
emplois.nom_rue | Nom de la rue | text | Emploi(s) | index.php:getFieldDefinitions:emplois.nom_rue | 19
emplois.bureau | Bureau (si applicable) | text | Emploi(s) | index.php:getFieldDefinitions:emplois.bureau | 19
emplois.ville | Ville | text | Emploi(s) | index.php:getFieldDefinitions:emplois.ville | 19
emplois.province | Province | text | Emploi(s) | index.php:getFieldDefinitions:emplois.province | 19
emplois.code_postal | Code postal | text | Emploi(s) | index.php:getFieldDefinitions:emplois.code_postal | 19
emplois.titre_poste | Titre du poste | text | Emploi(s) | index.php:getFieldDefinitions:emplois.titre_poste | 19
emplois.position | Position | select | Emploi(s) | index.php:getFieldDefinitions:emplois.position | 19
emplois.date_embauche | Date d’embauche | date | Emploi(s) | index.php:getFieldDefinitions:emplois.date_embauche | 19
emplois.job_field_experience | Années d’expérience dans le domaine | text | Emploi(s) | index.php:getFieldDefinitions:emplois.job_field_experience | 19
arret_travail | Je suis en arrêt de travail présentement | checkbox | Emploi(s) | index.php:getFieldDefinitions:arret_travail | 2
